date,qqq_equity,pure_garch_equity,garch_stop_equity,garch_forecast_vol,leverage,stop_triggered
2012-01-10,1.0,1.0,1.0126049706576332,0.18025701832610544,1.7475047736012652,False
2012-01-11,1.002067400546857,1.0034793093292926,1.0161281365789303,0.18025701832610544,1.7475047736012652,False
2012-01-12,1.0060303833393547,1.0102804510159118,1.0230150064569477,0.18025701832610544,1.7475047736012652,False
2012-01-13,1.0024122277481722,1.003796140575043,1.0164489614732368,0.18025701832610544,1.7475047736012652,False
2012-01-17,1.0115433770518765,1.0217269848687254,1.0346058235331077,0.14072294965049145,2.0,False
2012-01-18,1.0249830060612648,1.0486943957766959,1.0619131578642855,0.14072294965049145,2.0,False
2012-01-19,1.031357621302493,1.0615512930463011,1.0749321159467222,0.14072294965049145,2.0,False
2012-01-20,1.0298070150830276,1.0581697278454898,1.0715079262157778,0.14072294965049145,2.0,False
2012-01-23,1.030152065521633,1.0586898764455877,1.0720346312737175,0.13830108541730884,2.0,False
2012-01-24,1.028256334451132,1.054604329475112,1.0678975861035587,0.13830108541730884,2.0,False
2012-01-25,1.0411782017715367,1.0809219606323672,1.0945469502293295,0.13830108541730884,2.0,False
2012-01-26,1.037560492654935,1.0732173308990385,1.0867452038642842,0.13830108541730884,2.0,False
2012-01-27,1.0406614074441451,1.0794406468061464,1.0930469644857943,0.13830108541730884,2.0,False
2012-01-30,1.0415229545604217,1.0810351932179254,1.0946616101083062,0.12606377109333328,2.0,False
2012-01-31,1.04290144482895,1.0837037232800548,1.0973637769135678,0.12606377109333328,2.0,False
2012-02-01,1.0513437582667557,1.1010554225751432,1.1149341938691308,0.12606377109333328,2.0,False
2012-02-02,1.0546170866566231,1.1077150139737766,1.1216777292219358,0.12606377109333328,2.0,False
2012-02-03,1.0690900810835042,1.1379205710398863,1.1522640264485613,0.12606377109333328,2.0,False
2012-02-06,1.068228682792088,1.1358836567299078,1.1502014368934734,0.12878392875820005,2.0,False
2012-02-07,1.0704685713520325,1.140444318757917,1.1548195859325252,0.12878392875820005,2.0,False
2012-02-08,1.0761542019025023,1.1523552601071494,1.1668806643479697,0.12878392875820005,2.0,False
2012-02-09,1.0839074562371194,1.168753986457196,1.1834860961624813,0.12878392875820005,2.0,False
2012-02-10,1.0763266899155899,1.1521969273849757,1.1667203358464788,0.12878392875820005,2.0,False
2012-02-13,1.0863195351604311,1.1733856591721414,1.1881761509760942,0.12038089475067533,2.0,False
2012-02-14,1.089076515697488,1.1791320189583057,1.1939949434587513,0.12038089475067533,2.0,False
2012-02-15,1.0814953773138078,1.1625054174912581,1.1771587641680756,0.12038089475067533,2.0,False
2012-02-16,1.0963128268798532,1.1941525457237843,1.2092048035233711,0.12038089475067533,2.0,False
2012-02-17,1.0928666384147472,1.1864318216111314,1.2013867599098225,0.12038089475067533,2.0,False
2012-02-21,1.0959682973282587,1.192954370296679,1.2079915251301643,0.13412127892945624,2.0,False
2012-02-22,1.090971725880978,1.1818638716229246,1.1967612310460487,0.13412127892945624,2.0,False
