index,strategy_equity,brent_equity,wti_equity,zscore_20,position,zscore_w10,zscore_w15,zscore_w20,zscore_w30,zscore_w40,zscore_w60,zscore_w90
2021-05-12,1.0482410229952674,1.3568212857269466,1.3876523165314412,-1.0478202768426939,1.0,-0.6240543956858913,-0.8627435310707496,-1.0478202768426939,-1.1047480939685033,-0.8914285743734647,-0.7312313532818636,-0.2748451212684977
2021-05-13,1.0497655492367246,1.3123899559894887,1.3401932197880086,-1.0108866079923533,1.0,-0.5351137845482913,-0.8150578447854167,-1.0108866079923533,-1.1645994689033687,-0.9028769912284363,-0.7640720250782738,-0.29371033627490084
2021-05-14,1.0502594408019008,1.3448815595862205,1.3727426336167432,-0.5921259724842084,1.0,0.5495571137836548,-0.21704864595379175,-0.5921259724842084,-0.710059521529874,-0.5318379823842811,-0.425416188044514,-0.0014430599596254878
2021-05-17,1.0472638408506956,1.359561536054414,1.3916421278769535,-0.9869349435675302,1.0,-1.3006714358743756,-0.9911611020216835,-0.9869349435675302,-1.2324735569314658,-1.0648880657527,-0.8539356083019485,-0.37617398985435635
2021-05-18,1.048282234120483,1.3448815595862202,1.3752624807372595,-0.8318748520037806,1.0,-1.0149073358486678,-0.6916769267134182,-0.8318748520037806,-1.0716679408251524,-0.9900082453225455,-0.7374042542821851,-0.2893394852782844
2021-05-19,1.0511005766973354,1.3047563801726234,1.3305334319931659,-0.4670585106591794,1.0,0.06578313794404314,-0.11588478364985055,-0.4670585106591794,-0.7502793804796448,-0.7534045606968388,-0.4757730576457625,-0.06933279496551882
2021-05-20,1.0511005766973354,1.2744177024053793,1.3030239527265908,-1.3825721715286623,0.0,-2.0321597483402694,-1.5118229380728356,-1.3825721715286623,-1.5266102083577908,-1.5799505695648477,-1.1654951501405295,-0.6842228037717517
2021-05-21,1.0511005766973354,1.3004502298487624,1.3351533653328918,-2.216933771803637,0.0,-2.289730852885058,-2.5436394466430925,-2.216933771803637,-2.008894394437161,-2.1149594179345734,-1.7048401872783436,-1.1810786016922954
2021-05-24,1.0422236194351369,1.3399882340968223,1.387022354751312,-3.143625067416692,1.0,-2.4830531777853633,-3.0364615503411563,-3.143625067416692,-2.8658330560609127,-3.0661025015242394,-3.0326792423452007,-2.256996063604071
2021-05-25,1.0448006516713542,1.3437072092551465,1.3874422758667033,-2.0817727954689986,1.0,-1.4404654600125157,-1.887288759789918,-2.0817727954689986,-2.1070632844466255,-2.323614510742394,-2.3856620496889724,-1.8022428081703423
