date,rv_w5,rv_w10,rv_w20,rv_w30,rv_w40,rv_w60,rv_w90,rv_w120,rv_w180,spy_price
2015-09-21,18.06753446067416,19.35648793902124,30.356319845725483,27.295756886211837,24.01269970101105,20.9671806775079,17.88703583301679,16.201211823958715,15.491704039368189,164.64732360839844
2015-09-22,17.380275769449515,16.104385950941168,26.50288631834064,27.14770379749682,24.16876730849981,21.111317874191627,17.908476997467982,16.298940032136446,15.42037719832196,162.5102996826172
2015-09-23,14.04307615473462,14.637224914205255,26.067778754878347,27.076192230937302,23.912098656854106,20.703468855707627,17.905998421956134,16.28964486803968,15.381496964464613,162.25045776367188
2015-09-24,13.869888877183739,14.388745177568135,22.2913349665721,27.05990865342481,23.813393931091966,20.70225400595235,17.89919844552039,16.262702345944994,15.314903072300778,161.66378784179688
2015-09-25,10.517041990423587,14.07264555038211,20.280331196598937,27.06488916597459,23.81074148280312,20.61912710874665,17.899268035883708,16.259663376787632,15.166375213832273,161.62188720703125
2015-09-28,16.54897698736157,18.45195071645667,21.95384651645201,27.78778516866902,24.506211171993925,21.199782511167207,18.350254447627194,16.636394524760192,15.422233425916437,157.56558227539062
2015-09-29,17.135902225365662,16.400126934299998,21.88009076346413,27.686934009626306,24.518022152356032,21.201816503910354,18.339610271167043,16.620640331187214,15.396738945324312,157.6578369140625
2015-09-30,24.75300189503723,19.217473705899117,20.4566710032452,28.418435372641916,25.08564754656506,21.542114497519815,18.63760643052789,16.833505322591463,15.555893632760995,160.5994110107422
2015-10-01,24.882587480707695,19.478313953544056,19.264692372012494,28.41498989608646,25.07694813293999,21.308083731018513,18.573519227327026,16.830256603401416,15.543592821616539,161.01846313476562
2015-10-02,27.27638407436071,19.93230367622084,20.031610528325572,28.282874537025275,25.37690488429013,21.547040595708804,18.681382233644282,16.976080243147702,15.607640120252514,163.42376708984375
2015-10-05,13.728290735520435,21.797776994394997,20.09941471973195,27.41903559691192,25.829208974542595,21.709363740106657,18.93811467273385,17.16661366814171,15.672629747817373,166.33184814453125
2015-10-06,15.77341875773491,20.562126454329885,18.17446836141553,24.322083604169862,25.59993023735722,21.58129475522538,18.92035439728403,17.17241258665008,15.675988555885489,165.761962890625
2015-10-07,13.832814206440686,20.661544743699917,17.608183500578033,24.04701983032105,25.629285734555868,21.634866777459166,18.972069511243124,17.139192301433756,15.694605725631092,167.11965942382812
2015-10-08,12.974665316265533,20.495639225018678,17.760180115690403,21.607763851960783,25.74530584145745,21.72718381595782,19.038293892172383,17.137925587503624,15.631895273028032,168.62818908691406
2015-10-09,13.046531652591655,20.446781631399322,17.730705062301563,20.443811841310925,25.746850138567197,21.654724213728688,19.0321918735844,17.137712489731754,15.618444145215356,168.7287139892578
2015-10-12,8.494832470181056,12.608731503391885,17.626912182917025,20.443379327053492,25.72678227661746,21.655027665042564,18.984399940801985,17.122303432702633,15.616406111285782,168.8879852294922
2015-10-13,9.992884266218386,13.987288461992694,17.36136157636186,20.38402439218188,25.712037826292715,21.683676788880355,19.0097060406672,17.14006471551856,15.55551368504372,167.82362365722656
2015-10-14,9.57001319953198,13.114271228152887,17.205660691601896,18.31096631255437,25.725490910926663,21.689567250129237,18.999314742370117,17.148033181928103,15.490763483275135,167.01902770996094
2015-10-15,13.586269757184569,14.25822397402606,18.004134091818905,18.03866122079881,25.986002114853115,21.940357573207816,19.179490792831466,17.289064580422043,15.55825481955549,169.5835723876953
2015-10-16,13.771219797773036,13.19197219463436,16.828230318915626,18.06020087278676,25.473906722775936,21.938760959678905,19.086287014176108,17.29585346189134,15.493049600980994,170.3545684814453
2015-10-19,13.795741389743482,10.848018519227356,16.793928079647763,17.36163007496381,24.252885447806303,21.84009597868935,19.07776701458042,17.286575082857166,15.425494608156438,170.4383544921875
2015-10-20,12.303657999216712,10.571595784646396,15.920627912174346,15.939444318294822,21.58982966276449,21.809982670078647,19.037565653245377,17.227159298924,15.332309265667565,170.22048950195312
2015-10-21,12.88330396673683,10.933054187074141,16.15498250091739,15.500581992564447,21.405684798884923,21.689695042431083,19.051954565802045,17.175449978990997,15.343477241373565,169.16452026367188
2015-10-22,13.854111243917345,13.016888996648717,16.81310917944836,16.10324834760351,19.658809512543428,21.92957043800362,19.243460895695506,17.348254460670372,15.426892166110337,172.02230834960938
2015-10-23,15.03560535957989,13.719435699680805,16.98110767055257,16.30483926413897,18.898787682543503,22.049788122155462,19.330164404790125,17.341710900248383,15.47636726324888,173.90798950195312
2015-10-26,15.624803535530681,13.97040496363454,13.410817341721376,16.27070169467444,18.91922575193107,22.05324155145891,19.254292544168504,17.334860534446936,15.469658757477573,173.4805908203125
2015-10-27,15.759330266287963,13.338025242458237,13.54626529871582,16.000253976112297,18.78792770422219,22.046081683011963,19.242941593735292,17.327971617825078,15.421432196613111,173.14537048339844
2015-10-28,13.792153504986768,13.106361746994619,12.777996750455904,16.123490154604703,17.14917024080819,22.1664206514124,19.319208922285096,17.301187417059488,15.478730230636838,175.11480712890625
2015-10-29,11.204927903222377,11.88883202584787,12.885578020694139,16.09557255074438,16.616777036439238,22.157139244031416,19.319024362640555,17.287166207145695,15.438193128315604,175.0142364501953
2015-10-30,9.950884016605805,12.423518092990271,12.567010566302953,15.280148783325231,16.68658271527037,22.10950723355667,19.29405654218362,17.29316733547433,15.439719224677278,174.25994873046875
2015-11-02,12.251884344837386,13.239504537408777,11.806499526948675,15.51621654903924,16.2945954115692,22.233807798081852,19.38806969745183,17.37708236850137,15.50128135777891,176.32159423828125
