maturity,strike,price
0.05,70,30.174781432177795
0.05,72,28.179775187382916
0.05,74,26.184768942591035
0.05,76,24.189762697970522
0.05,78,22.19475645965045
0.05,80,20.199750375305342
0.05,82,18.204746862697874
0.05,84,16.209773453182606
0.05,86,14.215052709646471
0.05,88,12.221884776736132
0.05,90,10.235839642878304
0.05,92,8.274614048425562
0.05,94,6.380161230396467
0.05,96,4.626503289319942
0.05,98,3.1087838621368604
0.05,100,1.9093749374877333
0.05,102,1.0598898652706978
0.05,104,0.5273964542101091
0.05,106,0.2340348645953263
0.05,108,0.0923836112445997
0.05,110,0.03242586894262334
0.05,112,0.010131148567666837
0.05,114,0.0028240084675035804
0.05,116,0.000704388369327659
0.05,118,0.00015776459337458852
0.05,120,3.184930125294579e-05
0.05,122,5.818272660846149e-06
0.05,124,9.656702547657938e-07
0.05,126,1.461965154648692e-07
0.05,128,2.0268725839132237e-08
0.05,130,2.58324744179072e-09
0.07435897435897436,70,30.259773199312505
0.07435897435897436,72,28.267195291111648
0.07435897435897436,74,26.27461739113697
0.07435897435897436,76,24.282039621006362
0.07435897435897436,78,22.289463370940254
0.07435897435897436,80,20.29690059016164
0.07435897435897436,82,18.304429836139704
0.07435897435897436,84,16.312452169102116
0.07435897435897436,86,14.3225788276647
0.07435897435897436,88,12.339961142971163
0.07435897435897436,90,10.37782307752208
0.07435897435897436,92,8.463583107658337
0.07435897435897436,94,6.643216469870879
0.07435897435897436,96,4.978630930975811
0.07435897435897436,98,3.535066863976539
0.07435897435897436,100,2.362027427520985
0.07435897435897436,102,1.4770392592464106
0.07435897435897436,104,0.8609671160156225
0.07435897435897436,106,0.4666208217494692
0.07435897435897436,108,0.23484110180545947
0.07435897435897436,110,0.10972934020710845
0.07435897435897436,112,0.04762935203492713
0.07435897435897436,114,0.01922933858275866
0.07435897435897436,116,0.007233062226352338
0.07435897435897436,118,0.0025398919055083236
0.07435897435897436,120,0.0008344510982147835
0.07435897435897436,122,0.00025709398856240545
0.07435897435897436,124,7.446119855880184e-05
0.07435897435897436,126,2.0321993914431237e-05
0.07435897435897436,128,5.238984360820252e-06
0.07435897435897436,130,1.2788027990689451e-06
0.09871794871794873,70,30.344661517567502
0.09871794871794873,72,28.35450903828074
0.09871794871794873,74,26.364357030673062
0.09871794871794873,76,24.374208864885816
0.09871794871794873,78,22.384085619744496
0.09871794871794873,80,20.394093117835837
0.09871794871794873,82,18.404663276346838
0.09871794871794873,84,16.417245572226307
0.09871794871794873,86,14.435878660146557
0.09871794871794873,88,12.469980642522017
0.09871794871794873,90,10.538043515599583
0.09871794871794873,92,8.670734153967274
0.09871794871794873,94,6.91095384469709
0.09871794871794873,96,5.308851891324977
0.09871794871794873,98,3.912046717208206
0.09871794871794873,100,2.7542169771598637
0.09871794871794873,102,1.8466955592349876
0.09871794871794873,104,1.1765016327404112
0.09871794871794873,106,0.7111393241826356
0.09871794871794873,108,0.4075430403389415
0.09871794871794873,110,0.22141937189387306
0.09871794871794873,112,0.11409576889806772
0.09871794871794873,114,0.05580795481396983
0.09871794871794873,116,0.025940945053407827
0.09871794871794873,118,0.011474218805986536
0.09871794871794873,120,0.0048367982307263024
0.09871794871794873,122,0.0019461792175023557
0.09871794871794873,124,0.0007487127335164337
0.09871794871794873,126,0.00027585708341204204
0.09871794871794873,128,9.750342173851356e-05
0.09871794871794873,130,3.311663914566795e-05
0.12307692307692308,70,30.42944662488931
