t0,t4,t8,t12,t16,t20,t24,t28,t32,t36,t40,t44,t48,t52,t56,t60,t64,t68,t72,t76,t80,t84,t88,t92,t96,t100,t104,t108,t112,t116,t120,t124,t128,t132,t136,t140,t144,t148,t152,t156,t160,t164,t168,t172,t176,t180,t184,t188,t192,t196,t200,t204,t208,t212,t216,t220,t224,t228,t232,t236,t240,t244,t248,t252
100.0,99.74926578392788,99.07578599386517,99.23387505425593,98.69041407505368,98.52929187439426,97.48724763064405,96.2802892347998,93.77984831585306,94.84864811978657,95.52557368787143,94.8974939876704,93.47372666816358,93.44574708121314,92.98649466791173,92.89040118285281,93.94551941167083,93.27601132375786,93.01097586766097,93.74149660672745,94.83084665792883,93.93954045813587,95.26229638616564,94.56672349150932,93.45518251957537,91.34291376040954,91.61607779421837,92.18909455136067,90.27591856251628,91.14825922254764,92.66312712963523,92.90564206525963,91.52227834240398,91.79321018354413,92.52293403481595,92.5046353628173,94.16588307863076,94.47566607270517,94.47020668524164,95.64842381307318,97.21137453528134,96.71427135768602,95.55203167627838,96.37041165629887,100.369264675192,98.3014297463525,97.04699345385635,99.61069828398492,101.1886993039678,102.73799518414532,102.23940900221247,101.2791097607052,102.04697382591763,99.86596492702708,100.81976154033596,100.30858965935192,100.86281840306187,100.42491490237826,98.9453223392575,100.5244630149321,100.59219720252734,101.29469378172978,100.90839808434168,100.69712615480707
100.0,100.16667627526172,100.40542165698332,101.00607315993501,99.29162277188455,101.92626528798156,100.83988426290986,99.59440951703435,100.12459807829958,100.69566286309536,101.6736457140104,102.12279244722234,104.23957773339399,104.90910842299617,107.18092811145287,107.49298208358296,106.5445404493338,103.93839908257398,102.7826426109379,103.26910774026699,103.02257693220535,102.4028206563959,102.26190779281914,102.11460244312191,102.96557627052125,102.72017334848138,104.36614751113665,103.45568561779722,104.60863742269515,105.25146256474326,103.3853610022106,103.87419687706993,105.07133187250797,106.8713920026519,105.45653989789672,106.88022425013448,107.20882742638484,106.57260994143265,107.6322433184684,105.86046690141366,106.36195204217682,107.66497783477598,107.91481645680439,108.92456778063027,110.36964139684177,108.69080291636695,109.63438857479015,109.70933453110582,110.34737875517386,107.97220528673432,105.30041893653139,106.3334035978889,107.10959692231097,105.90972875808245,109.00185383710404,104.39716662562641,103.88097638080718,104.15474579108803,104.17202477227687,104.38804607308809,103.48690255650357,103.83214880532405,102.76109549776203,102.08269050163304
100.0,98.33887742645521,98.86692922451388,100.1712767120178,101.53599474063124,100.76766915723907,98.78200833399914,97.4722520346114,100.28797520722168,103.25777675749845,102.86535849594107,102.8385749595843,102.98140682650947,105.74810822739904,105.68915792200822,104.76385744903642,105.15555834513836,106.20661596563363,106.34138828719995,107.40256915361878,109.06637951344538,107.76446050973063,107.87847508732065,110.8486587040048,111.64488694905504,114.88634638455875,117.09571495275188,114.58431815731724,115.64986751598991,113.80864010427413,113.87009498730656,115.97189563155108,117.00046105404935,114.70304139607963,117.07195336583227,116.01845713718224,115.77859938440027,114.76376278134414,118.9086040210124,118.1187645878951,116.18972383828097,120.30395718782927,118.83827446362668,116.51070137472968,118.25512417084778,118.23217094488925,119.13596303992202,119.29765670455106,118.20145337332623,117.66208725582746,115.67466974865907,117.19442474053395,119.92094658555985,121.19847954697246,121.94648341732868,122.16289939782055,119.5391323179662,120.50043773280616,120.75576129701598,121.66504910697262,119.560339626287,119.9684164168076,120.17135876654643,119.97389166495975
100.0,99.14697090170661,99.35122872926956,97.38436928675424,97.94586720350537,98.6753713855737,99.53417919364149,98.86315968494067,98.65806244708297,99.88464572311396,99.51452425169668,97.61999371769575,96.9626023542365,97.91225270030392,99.63160828040833,100.19951778996148,98.4908179654277,96.93295738840284,97.54764633036234,98.62718501377076,97.22490417506577,96.6366113160989,98.34606651212864,97.53178491863432,97.07262051093659,99.02731474003794,98.77002498630296,98.70581155807442,100.60741103156245,100.85511705132222,101.32764138195982,100.86694678439763,99.21364084193183,99.55991140063738,95.63079295550092,96.18652538218481,97.626719059911,97.17149796437909,96.98972850280087,99.1254779489323,97.95085998404525,96.69992806991733,97.48664309353809,98.01614794408889,96.60980801847776,95.23103098956383,95.52949447811058,95.50366608691627,96.64487225836206,96.68331058080997,97.00799980887419,96.5109460547292,96.34735374776417,96.15296631755767,96.078137586291,95.04045057047685,95.10465269593882,94.16118125446116,93.7145645071589,93.80031073374046,94.84767715390213,95.70353089731805,94.86316232965855,95.44776819866935
100.0,96.57740719421909,95.55481387049599,97.79509576077355,97.74644748357211,98.129371016332,96.50876378447842,97.07271443569105,95.51763572102273,97.00148805893974,97.24581631031619,98.12726264907137,99.2100463752082,100.7735800511514,101.06793638647689,102.79150618325907,104.7161215016349,107.55176170670194,108.76400580898755,109.26168210029614,109.27099720528912,110.25229082989163,113.40617187898923,114.23745058387591,114.41166437703336,113.98335319068028,112.69954789544869,113.79495760149302,113.88525537864096,114.59179767463095,116.03806931499034,115.9223086442202,115.74387602247684,113.56577045011798,114.16795568605598,115.51954140987529,119.39906035011192,119.70733110441569,116.14716604834766,116.16461103366483,114.1651465030726,112.72349279046479,111.98321948386945,112.94445047346005,111.84281589367812,113.56108794037578,112.94475516025895,110.80876498298613,111.18673611860481,111.10890107947023,110.98168284926786,111.54773886219498,109.1539377581839,109.31421547289982,109.67772882054356,108.88597345112996,107.2187079587376,107.44761260409865,108.34481639573312,108.31127455155622,105.86660863056603,104.7117223367511,104.12357422285557,103.19741398511708
100.0,98.51931698831,95.81558222691143,93.13915853716249,92.67779835553625,93.8268223713515,91.81910835285193,93.54680071399663,94.31800379295152,97.03676782850198,96.66458443627917,95.07167007633686,96.92260117838288,97.54551167467591,96.18029437503493,96.41665147747341,97.42009068714201,96.53550159642509,95.08412097885733,95.99371964406885,93.63346051415262,94.00568581848493,92.72445043365023,90.09208092687861,90.29539180508456,88.28998592110256,86.49112008700192,85.50703319376782,87.54804817615857,89.61917947645705,88.97315622696782,89.52785537137193,90.45161168303683,89.64810422307396,90.79367778315071,92.93172576716711,91.60286791450794,92.15850978300574,91.46319000163028,92.44582517512465,91.58525540567287,89.27343844320754,91.29723533559975,89.47778068078,90.70711742361345,91.08524265651661,90.38300661725597,91.59302601673095,92.89507331786096,92.9267619196695,93.03120389912544,94.35040510500473,92.97932112799258,92.7249759367296,93.55270514943483,94.40533304840802,93.2785486577659,92.72257009061772,93.11268273560951,94.77939534232733,94.649712458151,96.85974260373163,98.81657136066148,96.53747165585013
100.0,101.41824127074632,101.13463595769234,99.80644084142175,99.7543221024734,98.51672832451425,97.55400382811193,96.88930461655772,98.66510887926037,98.19779489273,97.08475036971383,97.74316115734118,95.73761816682101,96.79281623427855,96.40151857919928,96.38470789107934,95.6432235406096,92.54920058417876,91.9911246405203,91.23380053075172,90.08131311316717,88.82154225113781,88.68640988125674,90.76374848563887,93.43924346393601,95.04834432140257,95.73695785227984,95.18084922153267,94.346854807017,95.99790509232633,96.02880851612025,96.75567542051657,94.50219625207465,93.69236017370064,91.99869072072599,92.35929172806975,92.79813293577513,92.4181585689662,93.39361583495705,92.71186745327405,91.61170911757166,89.58976263448102,89.38417949875908,90.3490564929775,88.80634646726391,88.66697947318895,89.84492122331902,88.57923517485024,87.92619419921004,85.20775866311921,83.44995222779067,85.33388224039822,85.32915577749357,84.24307435226535,83.7006275921058,85.88853123410502,86.6445056267034,84.48481076603203,84.72560801620142,83.4660833973393,83.8787111647907,85.22880974770047,83.73837686005133,82.99908240412638
100.0,99.889310527506,98.8159754825814,97.8925619753593,98.5437155090662,98.73779188693018,100.12180662444044,101.52377416226155,99.60604213869404,99.88287963998731,101.09598491131928,101.8103414959805,102.09975105549589,102.42186941952596,100.64534066917909,98.80983224478953,99.09227539061376,100.66518215369295,100.18246784151368,98.43391276856967,100.28923753716032,98.83809946023345,100.9963492963973,99.2274358014168,100.25976222940436,102.07109062421982,104.00527596250149,103.55975370661379,103.54955265079893,103.70392858001469,105.29493831177912,104.71709094281836,103.97952284305354,103.92705585702473,102.65863944371172,103.83236305979739,105.08449753263393,104.86775291244541,105.66561060885032,106.4854172905767,107.92110347391805,107.89770282515288,106.07574619711333,105.18776968136234,105.6293291304476,106.62257345245958,106.24664775863901,106.64358884932048,104.72092041922984,105.80788928203076,107.34734209058934,107.50017200596042,107.88769833018009,109.76122611913854,109.41077679125122,109.62748997285242,107.04351032004244,107.65253674004339,107.48783962329131,105.88187338695502,106.9775434897711,108.27222102595843,109.11664659170492,109.87168836437834
100.0,99.69289259120106,97.90316583415017,97.05233411726863,98.08188606400633,97.134176158574,98.08486556461713,97.59523109073133,96.93209548906837,98.35568565229117,97.55947067330989,97.69940971900509,97.42837408473709,96.50842492112272,95.74012113802185,98.32096894958848,99.27644792277053,100.27883577044734,99.82485534613961,98.4536581984987,99.54455574683026,99.23919655323473,97.77001411859914,96.86341356956176,94.90342327745294,96.21313706766519,97.13256947619588,95.60726079025204,96.37392343754723,97.67708409077383,98.12521629746334,97.94988498234125,98.35616350818387,98.16988868656433,97.03870705765371,98.99385644086962,100.91779243426633,100.85637473853677,100.34149696595647,99.82176044729873,97.80292552095867,97.52931193073437,94.37628610777563,94.0242620159433,94.20541082669044,94.33220422960858,95.40774183055927,94.65110912338069,95.04631402860942,94.01133862784108,95.40397447420501,95.5173195657844,95.7154340360675,95.0406803115524,94.38491326746605,94.59137515692916,93.71622862900631,95.51241120989282,92.37200804290528,91.79253481418404,93.40469815042451,93.45995855643787,94.40598108903153,94.64530159777934
100.0,98.59452047160204,99.38285141381418,98.35281593802755,97.93969026311129,97.2267597858767,98.07778262429062,99.02461888584261,97.82134432454345,98.78927186421906,99.15622177282144,97.22446968390432,97.84716173155856,97.16399041749735,96.68600782927268,97.00665182225734,98.28940289403153,98.91482141275748,98.84354794892641,98.37389991081291,97.7742264973617,98.27374677268925,98.15998245813981,98.54219928159125,99.2975979827771,98.57868898733682,97.20806388445241,97.23912941046632,98.86658086492247,98.51331020815341,99.34438164493409,99.85217802879325,100.48725253717821,100.69919784154544,101.81232232433743,103.37608498803183,103.33022684375183,106.05599761427725,105.09179076353973,104.46786254366904,101.62335989911668,100.31510396722807,99.5705386769689,100.9279433255649,99.93570910946275,100.18255113339924,100.28408012145498,99.98749534313205,99.7640153679409,100.35398931489293,99.37982848350119,97.27236833161052,98.30386610126017,98.9970497042969,98.88131790386497,98.37348589291098,98.36637673724069,99.81476042207206,99.28863233200033,100.915349005627,101.36859547531087,102.36425842201965,102.67970468483615,101.25760280516758
